PN001; DT001; 5; 100.000; 500.000
PN002; DT002; 3; 150.000; 450.000
PN003; DT003; 10; 50.000; 500.000
PN004; DT004; 8; 80.000; 640.000
PN005; DT005; 6; 120.000; 720.000
PN006; DT006; 7; 90.000; 630.000
PN007; DT007; 4; 200.000; 800.000
PN008; DT008; 2; 250.000; 500.000
PN009; DT009; 12; 40.000; 480.000
PN010; DT010; 9; 70.000; 630.000
PN001; DT011; 5; 100.000; 500.000
PN002; DT012; 3; 150.000; 450.000
PN013; DT013; 10; 50.000; 500.000
PN014; DT014; 8; 80.000; 640.000
PN005; DT015; 6; 120.000; 720.000
PN016; DT016; 7; 90.000; 630.000
PN017; DT017; 4; 200.000; 800.000
PN018; DT018; 2; 250.000; 500.000
PN009; DT019; 12; 40.000; 480.000
PN003; DT020; 9; 70.000; 630.000
PN002; DT021; 5; 100.000; 500.000
PN004; DT022; 3; 150.000; 450.000
PN004; DT023; 10; 50.000; 500.000
PN014; DT024; 8; 80.000; 640.000
PN015; DT025; 6; 120.000; 720.000
PN026; DT026; 7; 90.000; 630.000
PN027; DT027; 4; 200.000; 800.000
PN018; DT028; 2; 250.000; 500.000
PN019; DT029; 12; 40.000; 480.000
PN020; DT030; 9; 70.000; 630.000
PN002; DT015; 3; 13.000; 39.000
